지점,지점명,일시(UTC),기압(hPa),고도(gpm),풍향(deg),풍속(knot)
47122,오산,2015-05-16 00:00,50,20580,265,19
47122,오산,2015-05-16 00:00,70,18520,260,37
47122,오산,2015-05-16 00:00,100,16350,275,74
47122,오산,2015-05-16 00:00,150,13840,260,108
47122,오산,2015-05-16 00:00,200,12030,260,141
47122,오산,2015-05-16 00:00,250,10580,260,126
47122,오산,2015-05-16 00:00,300,9340,265,120
47122,오산,2015-05-16 00:00,400,7310,260,82
47122,오산,2015-05-16 00:00,500,5650,275,55
47122,오산,2015-05-16 00:00,700,3026,320,29
47122,오산,2015-05-16 00:00,850,1451,10,25
47122,오산,2015-05-16 00:00,925,745,10,13
47122,오산,2015-05-16 00:00,1000,89,310,1
47122,오산,2015-05-16 06:00,10,31100,155,7
47122,오산,2015-05-16 06:00,20,26480,215,11
47122,오산,2015-05-16 06:00,30,23850,330,6
47122,오산,2015-05-16 06:00,50,20630,280,24
47122,오산,2015-05-16 06:00,70,18550,255,44
47122,오산,2015-05-16 06:00,100,16370,275,70
47122,오산,2015-05-16 06:00,150,13860,270,110
47122,오산,2015-05-16 06:00,200,12010,260,121
47122,오산,2015-05-16 06:00,250,10570,260,120
47122,오산,2015-05-16 06:00,300,9340,265,120
47122,오산,2015-05-16 06:00,400,7310,280,82
47122,오산,2015-05-16 06:00,500,5660,275,61
47122,오산,2015-05-16 06:00,700,3035,305,25
47122,오산,2015-05-16 06:00,850,1457,305,16
47122,오산,2015-05-16 06:00,925,748,285,9
47122,오산,2015-05-16 06:00,1000,81,310,12
47122,오산,2015-05-16 12:00,10,31100,185,13
47122,오산,2015-05-16 12:00,20,26470,290,16
47122,오산,2015-05-16 12:00,30,23850,215,12
47122,오산,2015-05-16 12:00,50,20630,290,17
47122,오산,2015-05-16 12:00,70,18560,275,43
47122,오산,2015-05-16 12:00,100,16370,275,64
47122,오산,2015-05-16 12:00,150,13850,280,116
47122,오산,2015-05-16 12:00,200,12030,270,129
47122,오산,2015-05-16 12:00,250,10580,270,125
47122,오산,2015-05-16 12:00,300,9350,270,121
47122,오산,2015-05-16 12:00,400,7310,290,85
47122,오산,2015-05-16 12:00,500,5660,300,48
47122,오산,2015-05-16 12:00,700,3029,285,19
47122,오산,2015-05-16 12:00,850,1450,305,20
47122,오산,2015-05-16 12:00,925,739,300,20
47122,오산,2015-05-16 12:00,1000,77,270,6
47122,오산,2015-05-16 18:00,20,26470,100,3
47122,오산,2015-05-16 18:00,30,23830,280,13
47122,오산,2015-05-16 18:00,50,20630,270,25
47122,오산,2015-05-16 18:00,70,18560,305,44
47122,오산,2015-05-16 18:00,100,16380,275,75
47122,오산,2015-05-16 18:00,150,13860,270,117
47122,오산,2015-05-16 18:00,200,12050,270,100
47122,오산,2015-05-16 18:00,250,10610,275,116
47122,오산,2015-05-16 18:00,300,9370,280,112
47122,오산,2015-05-16 18:00,400,7330,290,67
47122,오산,2015-05-16 18:00,500,5680,300,48
47122,오산,2015-05-16 18:00,700,3047,300,23
47122,오산,2015-05-16 18:00,850,1465,310,17
47122,오산,2015-05-16 18:00,925,755,295,15
47122,오산,2015-05-16 18:00,1000,96,230,3
47122,오산,2015-05-17 00:00,20,26570,185,8
47122,오산,2015-05-17 00:00,30,23930,155,12
47122,오산,2015-05-17 00:00,50,20670,280,30
47122,오산,2015-05-17 00:00,70,18600,260,33
47122,오산,2015-05-17 00:00,100,16420,280,74
47122,오산,2015-05-17 00:00,150,13900,275,104
47122,오산,2015-05-17 00:00,200,12060,270,89
47122,오산,2015-05-17 00:00,250,10630,270,93
47122,오산,2015-05-17 00:00,300,9390,275,87
47122,오산,2015-05-17 00:00,400,7360,290,49
47122,오산,2015-05-17 00:00,500,5700,285,36
47122,오산,2015-05-17 00:00,700,3055,290,19
47122,오산,2015-05-17 00:00,850,1469,315,9
47122,오산,2015-05-17 00:00,925,762,295,13
47122,오산,2015-05-17 00:00,1000,106,145,9
47122,오산,2015-05-17 06:00,20,26510,245,1
47122,오산,2015-05-17 06:00,30,23880,255,14
47122,오산,2015-05-17 06:00,50,20640,320,7
47122,오산,2015-05-17 06:00,70,18570,260,47
47122,오산,2015-05-17 06:00,100,16410,270,73
47122,오산,2015-05-17 06:00,150,13880,275,100
47122,오산,2015-05-17 06:00,200,12070,280,93
47122,오산,2015-05-17 06:00,250,10630,265,81
47122,오산,2015-05-17 06:00,300,9400,270,65
47122,오산,2015-05-17 06:00,400,7380,280,27
47122,오산,2015-05-17 06:00,500,5710,275,40
47122,오산,2015-05-17 06:00,700,3058,260,16
47122,오산,2015-05-17 06:00,850,1464,240,7
47122,오산,2015-05-17 06:00,925,755,265,5
47122,오산,2015-05-17 06:00,1000,87,240,5
47122,오산,2015-05-17 12:00,20,26470,240,13
47122,오산,2015-05-17 12:00,30,23840,325,7
47122,오산,2015-05-17 12:00,50,20640,280,20
47122,오산,2015-05-17 12:00,70,18570,290,43
47122,오산,2015-05-17 12:00,100,16400,270,72
47122,오산,2015-05-17 12:00,150,13900,280,84
47122,오산,2015-05-17 12:00,200,12130,275,123
47122,오산,2015-05-17 12:00,250,10670,280,109
47122,오산,2015-05-17 12:00,300,9430,270,89
47122,오산,2015-05-17 12:00,400,7380,275,42
47122,오산,2015-05-17 12:00,500,5710,255,20
47122,오산,2015-05-17 12:00,700,3051,235,21
47122,오산,2015-05-17 12:00,850,1449,190,14
47122,오산,2015-05-17 12:00,925,738,225,5
47122,오산,2015-05-17 12:00,1000,70,295,10
47122,오산,2015-05-17 18:00,50,20630,280,19
47122,오산,2015-05-17 18:00,70,18580,285,32
47122,오산,2015-05-17 18:00,100,16410,270,67
47122,오산,2015-05-17 18:00,150,13890,280,98
47122,오산,2015-05-17 18:00,200,12130,275,99
47122,오산,2015-05-17 18:00,250,10680,260,94
47122,오산,2015-05-17 18:00,300,9430,260,82
47122,오산,2015-05-17 18:00,400,7370,250,42
47122,오산,2015-05-17 18:00,500,5690,240,22
47122,오산,2015-05-17 18:00,700,3040,255,29
47122,오산,2015-05-17 18:00,850,1436,220,22
47122,오산,2015-05-17 18:00,925,725,230,16
47122,오산,2015-05-17 18:00,1000,60,150,5
47122,오산,2015-05-18 00:00,20,26530,175,2
47122,오산,2015-05-18 00:00,30,23870,225,4
47122,오산,2015-05-18 00:00,50,20650,270,14
47122,오산,2015-05-18 00:00,70,18580,255,30
47122,오산,2015-05-18 00:00,100,16400,265,63
47122,오산,2015-05-18 00:00,150,13890,260,94
47122,오산,2015-05-18 00:00,200,12130,255,98
47122,오산,2015-05-18 00:00,250,10670,250,91
47122,오산,2015-05-18 00:00,300,9420,250,85
47122,오산,2015-05-18 00:00,400,7350,260,47
47122,오산,2015-05-18 00:00,500,5670,260,40
47122,오산,2015-05-18 00:00,700,3017,250,14
47122,오산,2015-05-18 00:00,850,1418,225,20
47122,오산,2015-05-18 00:00,925,708,200,16
47122,오산,2015-05-18 00:00,1000,,,
